,Clay_Up,Silt_Up,Sand_Up,Clay_Down,Silt_Down,Sand_Down,OC_Up,OC_Down,BD_Up,BD_Down,AWC_Up,AWC_Down,K_Up,K_Down,PCP_WW,PCP_SM,IRR_SM,PCP_RY,TMP_AV,TMP_MX,TMP_MN
1325,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,157.2,279.6,26,429.7,9.10396456692913,14.7631023622047,3.44482677165354
1326,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,48.0,146.3,148,231.0,10.2192913385827,16.490157480315,3.94842519685039
1327,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,70.9,734.4,26,909.7,8.95265490196078,15.0203843137255,2.88492941176471
1328,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,166.3,207.2,55,293.1,8.95614173228346,14.1704566929134,3.74182677165354
1329,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,100.3,187.3,55,291.5,10.2806299212598,16.3789606299213,4.18229527559055
1330,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,130.6,396.4,26,706.1,8.3890905511811,13.6963346456693,3.08184645669291
1331,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,275.2,237.3,55,359.9,9.74986274509804,15.4628156862745,4.03690196078431
1332,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,114.3,301.9,26,424.2,8.77992125984252,14.4114173228346,3.14842519685039
1333,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,109.6,167.0,148,287.0,9.58267716535433,15.3870078740157,3.77834645669291
1334,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,148.7,283.7,26,476.7,11.243094488189,16.3883661417323,6.0978188976378
1335,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,229.5,281.5,26,501.3,10.3390196078431,14.9419607843137,5.73607843137255
1336,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,125.3,332.7,26,480.1,10.8493661417323,16.1492952755905,5.54943307086614
1337,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,91.9,349.0,26,415.5,8.77677165354331,13.3622047244094,4.19133858267717
1338,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,61.9,279.0,26,412.6,10.2685078740158,15.5042834645669,5.03273228346457
1339,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,138.2,350.2,26,454.2,9.99372549019608,14.4560784313725,5.53137254901961
1340,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,63.2,439.6,26,618.9,8.13819291338583,14.5819212598425,1.69446850393701
1341,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,160.9,384.0,26,521.5,8.6389842519685,14.6620236220472,2.61593700787402
1342,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,151.6,446.1,26,591.1,8.6560905511811,14.5748622047244,2.73732283464567
1343,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,148.5,455.5,26,594.6,8.31329411764706,14.7044156862745,1.92217254901961
1344,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,128.3,218.5,55,340.5,8.76068110236221,14.7315157480315,2.78984251968504
1345,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,157.2,279.6,26,429.7,9.10396456692913,14.7631023622047,3.44482677165354
1346,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,48.0,146.3,148,231.0,10.2192913385827,16.490157480315,3.94842519685039
1347,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,70.9,734.4,26,909.7,8.95265490196078,15.0203843137255,2.88492941176471
1348,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,166.3,207.2,55,293.1,8.95614173228346,14.1704566929134,3.74182677165354
1349,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,100.3,187.3,55,291.5,10.2806299212598,16.3789606299213,4.18229527559055
1350,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,130.6,396.4,26,706.1,8.3890905511811,13.6963346456693,3.08184645669291
1351,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,275.2,237.3,55,359.9,9.74986274509804,15.4628156862745,4.03690196078431
1352,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,114.3,301.9,26,424.2,8.77992125984252,14.4114173228346,3.14842519685039
1353,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,109.6,167.0,148,287.0,9.58267716535433,15.3870078740157,3.77834645669291
1354,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,148.7,283.7,26,476.7,11.243094488189,16.3883661417323,6.0978188976378
1355,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,229.5,281.5,26,501.3,10.3390196078431,14.9419607843137,5.73607843137255
1356,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,125.3,332.7,26,480.1,10.8493661417323,16.1492952755905,5.54943307086614
1357,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,91.9,349.0,26,415.5,8.77677165354331,13.3622047244094,4.19133858267717
1358,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,61.9,279.0,26,412.6,10.2685078740158,15.5042834645669,5.03273228346457
1359,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,138.2,350.2,26,454.2,9.99372549019608,14.4560784313725,5.53137254901961
1360,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,56.0,578.0,26,753.8,9.5140562248996,14.8349397590361,4.19317269076305
1361,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,191.2,306.8,26,529.7,10.0363734939759,15.2099036144578,4.86284738955823
1362,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,158.5,415.0,26,524.4,9.91586345381526,15.0915662650602,4.74016064257028
1363,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,136.8,493.3,26,627.0,9.678304,15.097492,4.259116
1364,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,123.2,196.7,55,313.5,10.2200803212851,15.3875502008032,5.05261044176707
1365,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,136.8,264.6,55,405.4,10.3173012048193,15.2125702811245,5.4220281124498
1366,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,56.2,278.1,55,357.7,11.2363453815261,16.5622489959839,5.91044176706827
1367,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,39.5,619.2,26,785.8,10.4166,15.4584,5.3748
1368,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,162.0,301.5,26,392.4,9.88612449799197,14.568875502008,5.2033734939759
1369,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,138.0,162.7,148,280.2,11.3556224899598,16.6618473895582,6.04939759036144
1370,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,123.6,380.5,26,645.4,9.18536144578313,13.6422088353414,4.72851807228916
1371,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,224.2,282.9,26,417.0,10.6624,15.7852,5.5396
1372,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,102.9,301.8,26,435.7,9.39665060240964,14.2781365461847,4.51515662650602
1373,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,116.6,188.0,55,345.2,10.2746586345382,15.3901485943775,5.1591686746988
1374,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,145.9,278.6,26,428.4,10.4883534136546,16.0582329317269,4.91847389558233
1375,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,152.7,383.3,26,545.6,9.3064,14.8168,3.796
1376,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,119.9,456.7,26,633.6,10.1066265060241,16.1289156626506,4.08433734939759
1377,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,141.6,309.5,26,399.3,8.03975903614458,13.3686746987952,2.71084337349398
1378,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,72.7,324.8,26,481.7,9.28355421686747,15.467140562249,3.09996787148594
1379,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,161.0,393.6,26,498.0,9.537752,14.634892,4.440612
1380,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,56.0,578.0,26,753.8,9.5140562248996,14.8349397590361,4.19317269076305
1381,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,191.2,306.8,26,529.7,10.0363734939759,15.2099036144578,4.86284738955823
1382,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,158.5,415.0,26,524.4,9.91586345381526,15.0915662650602,4.74016064257028
1383,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,136.8,493.3,26,627.0,9.678304,15.097492,4.259116
1384,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,123.2,196.7,55,313.5,10.2200803212851,15.3875502008032,5.05261044176707
1385,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,136.8,264.6,55,405.4,10.3173012048193,15.2125702811245,5.4220281124498
1386,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,56.2,278.1,55,357.7,11.2363453815261,16.5622489959839,5.91044176706827
1387,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,39.5,619.2,26,785.8,10.4166,15.4584,5.3748
1388,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,162.0,301.5,26,392.4,9.88612449799197,14.568875502008,5.2033734939759
1389,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,138.0,162.7,148,280.2,11.3556224899598,16.6618473895582,6.04939759036144
1390,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,123.6,380.5,26,645.4,9.18536144578313,13.6422088353414,4.72851807228916
1391,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,224.2,282.9,26,417.0,10.6624,15.7852,5.5396
1392,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,102.9,301.8,26,435.7,9.39665060240964,14.2781365461847,4.51515662650602
1393,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,116.6,188.0,55,345.2,10.2746586345382,15.3901485943775,5.1591686746988
