,a,b,c,d
157,9.493285383386112e-09,-2.973682371067608e-07,-0.0032690732441399,0.0392975793575016
158,-8.859733336258038e-09,7.601117297927507e-06,-0.003877201460877,0.335806432558818
159,4.697080427896389e-10,4.416643051646005e-06,-0.0032986044013795,0.3961529581356707
160,3.3201027193131254e-08,-9.517388819769928e-06,-0.0050001479153942,0.0032651944026979
161,-4.2266086186515395e-09,1.1622585400550278e-05,-0.0066263068061647,1.7439236547504409
162,5.236181488399437e-10,6.33596356003352e-06,-0.0050710397312394,0.4802596914932086
163,-7.226346748577806e-09,7.68430504746642e-06,-0.0059557837425341,1.6299591027098683
164,2.7989579097750923e-08,-1.118136257812605e-05,-0.0030215501273309,0.1568596236925134
165,-1.117717255708268e-08,7.417614041616037e-06,-0.0030478038239067,0.2931292177584668
166,1.6872616637186866e-08,-2.774392004356585e-06,-0.0046441749588559,0.0034330032702551
167,1.5614678772202243e-08,1.350029692481769e-07,-0.0056779044256043,0.0635673459922062
168,-1.2795176029811728e-09,7.328950494711606e-06,-0.0056104860632146,-0.6310949216120907
169,-1.1399081678575838e-10,8.057420340490395e-06,-0.0063627239840975,0.0171633543772108
170,-1.1991994622785526e-08,1.84983374443098e-05,-0.0075300011119687,-0.6775233438313558
171,-1.1273599575031906e-08,9.822117464895788e-06,-0.0045339026638621,0.1032041752639867
172,-1.3860674485801186e-08,1.3184522493881388e-05,-0.0060663623112865,0.0586123845595302
173,-2.616279359823892e-07,0.0001394253500985,-0.018692840336109,0.2402992147433279
174,-6.933870125375937e-08,4.128764409146984e-05,-0.0094164180913809,0.4747960116534827
175,-1.9709890534713447e-08,1.4991040061650768e-05,-0.0047844340445303,0.2753334385157367
176,1.1917135278594062e-08,1.2172831108658857e-06,-0.0059007682639566,0.0710269224590809
177,2.036979429576036e-08,-2.751803083400617e-06,-0.0055443749539079,0.0640584786350612
178,-1.4828703247284464e-08,1.3052266684364809e-05,-0.0068706947132957,0.6095358349758019
179,5.4656012482440935e-09,6.405146138552104e-06,-0.0059673788633487,0.8068633149938045
180,3.169114715065592e-08,-5.537315637043656e-06,-0.0068819878096453,0.0161252991691093
181,-4.067316878764745e-09,1.428178235276183e-05,-0.0084150703476235,1.804448461474884
182,-1.1267056887539905e-08,1.603716941583178e-05,-0.0075822510549833,0.5709169358270416
183,-1.1907070600239449e-08,1.3355918472176988e-05,-0.0079273928157707,1.5969288833182869
184,2.0503656661396974e-08,-4.3046630999743485e-06,-0.005227812931239,0.0563937846279462
185,-2.4470818455804496e-08,1.7078374224572986e-05,-0.004836517933578,0.2982151551854328
186,5.144970449677544e-09,3.873729382042335e-06,-0.0057349076097494,-0.0070996046206408
187,2.1057095289656047e-08,-1.3771346152324784e-07,-0.0072296993878986,0.0921402396714354
188,-2.306366431170659e-09,1.080253452090396e-05,-0.0073712367996168,-0.6493437887161366
189,-1.1909958574918278e-08,1.4210061973218837e-05,-0.0073551872816171,0.0046209120728973
190,-2.3897965744585228e-08,2.7695424498746157e-05,-0.0092272759061389,-0.841753544496656
191,-2.5623139165986686e-09,6.03299844803562e-06,-0.0046973112117552,0.1835706337357496
192,-1.961748948955877e-08,1.8735400640087908e-05,-0.0082976419281248,0.0953215264796743
193,-3.129328628220432e-07,0.0001683067418148,-0.022758949957234,0.292644492199594
194,-1.745284206045028e-07,9.49426303848977e-05,-0.0156694865557318,0.5122898468256681
195,-2.4836703264737577e-08,1.9795453392450224e-05,-0.006135385586487,0.2459476960381718
196,-1.1114498210673671e-09,9.796702432951498e-06,-0.0078942907514898,0.0976715076543627
197,2.2324355586356148e-08,5.031496178586892e-07,-0.0073757728495558,0.0943410395749861
198,-1.8755203612386143e-08,1.7404859183889343e-05,-0.0086656998366707,0.5893996409854344
199,-5.676722763854093e-10,1.0245887421142365e-05,-0.0069848336952383,0.6465877269420462
200,7.3459626159788635e-09,3.924882542305497e-07,-0.0030564729662889,-0.0571792162150146
201,-6.732715633692961e-09,6.221685205652903e-06,-0.0037176606294626,1.199427057537226
202,-4.528596377004686e-09,6.936151870632911e-06,-0.0033964829779401,1.0216652763466718
203,-4.4647206953973695e-09,5.349015045968301e-06,-0.0039073093889975,1.013913439396812
204,1.0198755981716072e-08,-1.7871026918570075e-06,-0.0028336016036553,0.0379709289603177
205,-8.716704418567035e-09,5.678835055520894e-06,-0.0029630216561075,0.1113446735106417
206,2.421963698457699e-08,-6.993825112004844e-06,-0.0029518548490635,-0.0634218234366122
207,-9.06572790340124e-09,9.684271980663844e-06,-0.005347705647439,-0.0307871145644077
208,4.421302213231115e-10,5.257520928392268e-06,-0.0050629639547687,-0.0779637205589187
209,-1.0359239983966924e-08,1.0657909495546908e-05,-0.0047316762001557,0.0851704344342548
210,-3.980762266103933e-09,1.03016731715158e-05,-0.0046090062858161,-0.0293805613905479
211,-3.2755347698491166e-09,5.787565500559218e-06,-0.0031603018145377,0.4940842434602079
212,-1.3956179403562072e-08,1.2050407771570934e-05,-0.0050041451605283,-0.0819249478009074
213,-1.7035834178249316e-09,6.337779157354562e-06,-0.0051289679350584,-0.0790529678738478
214,-3.981116470473079e-09,9.495459979669405e-06,-0.0050780739428319,0.1132550100122081
215,-1.1047792082100517e-08,9.22932061592022e-06,-0.0034678305144651,-0.0327913704499686
216,-1.1187895054831641e-10,4.117709739848152e-06,-0.0039406853385446,-0.1102693088355915
217,-5.2014677232422564e-09,9.468703117446906e-06,-0.0046686357483689,0.275249875543343
218,-5.508960294463355e-09,5.950049195528769e-06,-0.0040386238502633,0.1436676778983896
219,4.037963631622325e-09,2.581028298832553e-06,-0.003166985770946,0.5557496470329133
220,6.3510842343603635e-09,2.182876258101305e-06,-0.0040840437231752,-0.0821606523857171
221,-4.256888619380561e-09,4.498830304733303e-06,-0.0040384133074524,1.6970300368694171
222,-8.794039291022998e-09,9.8404551867685e-06,-0.0042022772322329,1.396565104714003
223,-2.2389646444634797e-09,3.980382073753349e-06,-0.0042652163752618,1.334524646171944
224,1.2470448366259998e-08,-1.972839250029351e-06,-0.0035182939086991,0.1177497543642279
